nombre,region,url,sitio_vivo,tiene_rss,feed_url
Diario Concepción,Biobío,https://www.diarioconcepcion.cl,True,True,https://www.diarioconcepcion.cl/rss.xml
TVU,Biobío,https://www.tvu.cl,True,True,https://www.tvu.cl/rss.xml
El Andacollino,Coquimbo,https://www.elandacollino.cl,True,True,https://www.elandacollino.cl/feed
El Ovallino,Coquimbo,https://www.elovallino.cl,True,True,https://www.elovallino.cl/feed/
Elqui Global,Coquimbo,https://www.elquiglobal.cl,True,True,https://www.elquiglobal.cl/feed
La Serena Online,Coquimbo,https://laserenaonline.cl,True,True,https://laserenaonline.cl/feed/
Salamanca Chile,Coquimbo,https://salamancachile.cl,True,True,https://salamancachile.cl/rss
Serena y Coquimbo,Coquimbo,https://serenaycoquimbo.cl,True,True,https://serenaycoquimbo.cl/feed/
Aqua,Los Lagos,https://www.aqua.cl,True,True,https://www.aqua.cl/feed
Chiloé Rural,Los Lagos,https://www.chiloeRural.cl,True,True,https://www.chiloeRural.cl/feed
Chiloé al Día,Los Lagos,https://www.diariochiloe.cl,True,False,
Diario El Huemul,Los Lagos,https://elhuemul.cl,True,True,https://elhuemul.cl/feed/
Diario Los Lagos,Los Lagos,https://diarioloslagos.cl,True,True,https://diarioloslagos.cl/feed/
Diario Puerto Varas,Los Lagos,https://diariopuertovaras.cl,True,True,https://diariopuertovaras.cl/feed/
El Calbucano,Los Lagos,https://www.elcalbucano.cl,True,True,https://www.elcalbucano.cl/feed/
El Insular,Los Lagos,https://www.elinsular.cl,True,True,https://elinsular.cl/feed/
Queilen,Los Lagos,https://www.queilen.cl,True,True,https://www.queilen.cl/blog-feed.xml
Vértice TV,Los Lagos,https://verticetv.cl,True,True,https://verticetv.cl/feed/
El Provincial,Los Ríos,https://www.elprovincial.cl,True,True,https://www.elprovincial.cl/feed
Los Ríos al Día,Los Ríos,https://www.losriosaldia.cl,True,True,https://www.losriosaldia.cl/feed
Río en Línea,Los Ríos,https://www.rioenlinea.cl,True,True,https://www.rioenlinea.cl/feed/
El Magallánico,Magallanes,https://elmagallanico.com,True,True,https://elmagallanico.com/feed/
El Pingüino,Magallanes,https://elpinguino.com,True,True,https://elpinguino.com/feed/
ITV Patagonia,Magallanes,https://www.itvpatagonia.com,True,True,https://www.itvpatagonia.com/feed/
La Prensa Austral,Magallanes,https://laprensaaustral.cl,True,True,https://laprensaaustral.cl/feed/
Cauquenes Net,Maule,https://www.cauquenesnet.cl,True,True,https://www.cauquenesnet.cl/feed
Diario Talca,Maule,https://diariotalca.cl,True,True,https://diariotalca.cl/feed/
El Centro,Maule,https://www.diarioelcentro.cl,True,True,https://www.diarioelcentro.cl/feed
El Heraldo de Linares,Maule,https://www.diarioelheraldo.cl,True,True,https://www.diarioelheraldo.cl/feed.php
El Urbano Rural,O'Higgins,https://www.elurbanorural.cl,True,True,https://www.elurbanorural.cl/feed
Pichilemu News,O'Higgins,https://www.pichilemunews.cl,True,True,https://www.pichilemunews.cl/feed
VI.cl,O'Higgins,https://www.vi.cl,True,True,https://www.vi.cl/feed
Diario El Nortino,Tarapacá,https://www.diarioelnortino.cl,True,True,https://www.diarioelnortino.cl/feed
La Mega FM,Tarapacá,https://lamegafm.cl,True,True,https://lamegafm.cl/feed
Diario Aconcagua,Valparaíso,https://www.diarioaconcagua.cl,True,True,https://www.diarioaconcagua.cl/blog-feed.xml
Diario El Porteño,Valparaíso,https://elporteno.cl,True,True,https://elporteno.cl/feed/
Diario La Quinta,Valparaíso,https://diariolaquinta.cl,True,True,https://diariolaquinta.cl/feed/
El Aconcagua,Valparaíso,https://www.elaconcagua.cl,True,True,https://www.elaconcagua.cl/feed/
El Observador,Valparaíso,https://www.observador.cl,True,True,https://www.observador.cl/feed/
El Trabajo,Valparaíso,https://www.eltrabajo.cl,True,True,https://eltrabajo.cl/web/feed/
Mi San Felipe,Valparaíso,https://www.misanfelipe.cl,True,True,https://www.misanfelipe.cl/feed
Pasión FM,Valparaíso,https://www.pasionfm.cl,True,True,https://montealegre.cl/feed/
Chillán Online,Ñuble,https://www.chillanonline.cl,True,True,https://www.chillanonline.cl/V7/feed/
Municipalidad de Cobquecura,Ñuble,https://www.cobquecura.cl,True,True,https://www.cobquecura.cl/feed
La Discusión,Ñuble,https://ladiscusion.cl,True,True,https://ladiscusion.cl/feed/
La Fontana,Ñuble,https://lafontana.cl,True,True,https://lafontana.cl/feed/
San Carlos Online,Ñuble,https://www.sancarlosonline.cl,True,True,https://www.sancarlosonline.cl/rss.xml
Ñuble Digital,Ñuble,https://nubledigital.cl,True,True,https://nubledigital.cl/feed/
Municipalidad de Mejillones,Antofagasta,https://www.mejillones.cl,True,True,https://www.mejillones.cl/feed/
Municipalidad de Ollagüe,Antofagasta,https://municipalidaddeollague.cl,True,True,https://municipalidaddeollague.cl/feed/
Municipalidad de Tocopilla,Antofagasta,https://imtocopilla.cl,True,True,https://imtocopilla.cl/feed/
Municipalidad de Cunco,Araucanía,https://www.municunco.cl,True,True,https://www.municunco.cl/noticias/feed/
Municipalidad de Curarrehue,Araucanía,https://curarrehue.cl,True,True,https://curarrehue.cl/on/feed/
Municipalidad de Gorbea,Araucanía,https://home.municipalidadgorbea.cl,True,True,https://home.municipalidadgorbea.cl/feed
Municipalidad de Lautaro,Araucanía,https://sitio.munilautaro.cl,True,True,https://sitio.munilautaro.cl/feed/
Municipalidad de Melipeuco,Araucanía,https://municipalidadmelipeuco.cl,True,True,https://municipalidadmelipeuco.cl/feed/
Municipalidad de Perquenco,Araucanía,https://www.perquenco.cl,True,True,https://www.perquenco.cl/feed/
Municipalidad de Pucón,Araucanía,https://municipalidadpucon.cl,True,True,https://municipalidadpucon.cl/?feed=rss2
Municipalidad de Renaico,Araucanía,https://municipalidadrenaico.cl,True,True,https://municipalidadrenaico.cl/feed/
Municipalidad de Saavedra,Araucanía,https://munisaavedra.cl,True,True,https://munisaavedra.cl/feed/
Municipalidad de Temuco,Araucanía,https://www.temuco.cl,True,True,https://www.temuco.cl/feed/
Municipalidad de Villarrica,Araucanía,https://www.munivillarrica.cl,True,True,https://www.munivillarrica.cl/feed/
Municipalidad de Freirina,Atacama,https://imfreirina.cl,True,True,https://imfreirina.cl/feed/
Municipalidad de Vallenar,Atacama,https://www.imvallenar.gob.cl,True,True,https://www.imvallenar.gob.cl/feed/
Municipalidad de Aysén,Aysén,https://muniaysen.gob.cl,True,True,https://muniaysen.gob.cl/feed/
Municipalidad de Guaitecas,Aysén,https://muniguaitecas.cl,True,True,https://muniguaitecas.cl/feed/
Municipalidad de O'Higgins,Aysén,https://www.municipalidadohiggins.cl,True,True,https://www.municipalidadohiggins.cl/feed/
Municipalidad de Río Ibáñez,Aysén,https://rioibanez.cl,True,True,https://rioibanez.cl/feed/
Municipalidad de Alto Biobío,Biobío,https://munialtobiobio.cl,True,True,https://munialtobiobio.cl/feed/
Municipalidad de Cañete,Biobío,https://municanete.cl,True,True,https://municanete.cl/v2/feed/
Municipalidad de Chiguayante,Biobío,https://chiguayante.cl,True,True,https://chiguayante.cl/Chgte/?feed=rss2
Municipalidad de Concepción,Biobío,https://concepcion.cl,True,True,https://concepcion.cl/feed/
Municipalidad de Coronel,Biobío,https://www.coronel.cl,True,True,https://www.coronel.cl/feed/
Municipalidad de Laja,Biobío,https://munilaja.cl,True,True,https://munilaja.cl/w/feed/
Municipalidad de Los Álamos,Biobío,https://munilosalamos.gob.cl,True,True,https://munilosalamos.gob.cl/feed/
Municipalidad de Lota,Biobío,https://lota.cl,True,True,https://lota.cl/feed/
Municipalidad de Negrete,Biobío,https://www.muninegrete.cl,True,True,https://www.muninegrete.cl/feed/
Municipalidad de Penco,Biobío,https://penco.cl,True,True,https://penco.cl/feed/
Municipalidad de Quilaco,Biobío,https://municipalidadquilaco.cl,True,True,https://municipalidadquilaco.cl/w/?feed=rss2
Municipalidad de Quilleco,Biobío,https://municipalidadquilleco.cl,True,True,https://municipalidadquilleco.cl/feed/
Municipalidad de San Pedro de la Paz,Biobío,https://sanpedrodelapaz.cl,True,True,https://sanpedrodelapaz.cl/feed/
Municipalidad de San Rosendo,Biobío,https://municipalidadsanrosendo.cl,True,True,https://municipalidadsanrosendo.cl/feed/
Municipalidad de Santa Bárbara,Biobío,https://www.santabarbara.cl,True,True,https://www.santabarbara.cl/feed/
Municipalidad de Santa Juana,Biobío,https://new.santajuana.cl,True,True,https://new.santajuana.cl/feed/
Municipalidad de Yumbel,Biobío,https://yumbel.cl,True,True,https://yumbel.cl/feed/
Municipalidad de Illapel,Coquimbo,https://municipalidadillapel.cl,True,True,https://municipalidadillapel.cl/feed/
Municipalidad de Punitaqui,Coquimbo,https://www.munipunitaqui.cl,True,True,https://www.munipunitaqui.cl/noticias/feed/
Municipalidad de Río Hurtado,Coquimbo,https://riohurtado.cl,True,True,https://riohurtado.cl/?feed=rss2
Municipalidad de Vicuña,Coquimbo,https://munivicuna.cl,True,True,https://munivicuna.cl/feed/
Municipalidad de Calbuco,Los Lagos,https://www.municipalidadcalbuco.cl,True,True,https://www.municipalidadcalbuco.cl/?feed=rss2
Municipalidad de Castro,Los Lagos,https://www.municipalidadcastro.cl,True,True,https://www.municipalidadcastro.cl/feed/
Municipalidad de Chonchi,Los Lagos,https://municipalidadchonchi.cl,True,True,https://municipalidadchonchi.cl/web/feed/
Municipalidad de Dalcahue,Los Lagos,https://www.munidalcahue.cl,True,True,https://www.munidalcahue.cl/portal/feed/
Municipalidad de Frutillar,Los Lagos,https://munifrutillar.cl,True,True,https://munifrutillar.cl/feed/
Municipalidad de Futaleufú,Los Lagos,https://www.futaleufu.cl,True,True,https://www.futaleufu.cl/feed/
Municipalidad de Hualaihué,Los Lagos,https://municipalidadhualaihue.cl,True,True,https://municipalidadhualaihue.cl/feed/
Municipalidad de Maullín,Los Lagos,https://munimaullin.cl,True,True,https://munimaullin.cl/feed/
Municipalidad de Palena,Los Lagos,https://municipalidadpalena.cl,True,True,https://municipalidadpalena.cl/feed/
Municipalidad de Puerto Montt,Los Lagos,https://www.puertomontt.cl,True,True,https://www.puertomontt.cl/feed/
Municipalidad de Puqueldón,Los Lagos,https://munipuqueldon.cl,True,True,https://munipuqueldon.cl/feed
Municipalidad de Quellón,Los Lagos,https://muniquellon.cl,True,True,https://muniquellon.cl/feed/
Municipalidad de Quemchi,Los Lagos,https://www.muniquemchi.cl,True,True,https://www.muniquemchi.cl/feed/
Municipalidad de Río Negro,Los Lagos,https://www.munirionegro.cl,True,True,https://www.munirionegro.cl/feed/
Municipalidad de San Juan de la Costa,Los Lagos,https://sanjuandelacosta.cl,True,True,https://sanjuandelacosta.cl/feed/
Municipalidad de San Pablo,Los Lagos,https://municipalidadsanpablo.cl,True,True,https://municipalidadsanpablo.cl/?feed=rss2
Municipalidad de La Unión,Los Ríos,https://www.munilaunioninfo.com,True,True,https://www.munilaunioninfo.com/blog-feed.xml
Municipalidad de Los Lagos,Los Ríos,https://muniloslagos.cl,True,True,https://muniloslagos.cl/feed/
Municipalidad de Mariquina,Los Ríos,https://munimariquina.cl,True,True,https://munimariquina.cl/feed/
